啊	a	ah
只要	zhǐyào	as long as
纸	zhǐ	paper
中餐	zhōng cān	Chinese food
中级	zhōng jí	intermediate; middle-level
中年	zhōng nián	middle age; middle-aged
中小学	zhōng xiǎo xué	elementary and middle school
中心	zhōngxīn	core
中医	zhōng yī	Chinese medicine
重点	zhòngdiǎn	a key
重视	zhòngshì	attach importance to
周	zhōu	week
周末	zhōumò	weekend
周年	zhōunián	anniversary
主人	zhǔrén	master
主要	zhǔyào	main
住房	zhù fáng	housing; lodging
住院	zhù yuàn	be in hospital; be hospitalized
装	zhuāng	pretend
准确	zhǔnquè	accuracy
自己	zìjǐ	own, self
自行车	zìxíngchē	bicycle
自由	zìyóu	free
字典	zì diǎn	dictionary
走过	zǒu guò	walk through; pass by
走进	zǒu jìn	walk in
走开	zǒu kāi	go away
租	zū	rent
组	zǔ	group
组成	zǔchéng	form
组长	zǔ zhǎng	group leader
嘴	zuǐ	mouth
最近	zuìjìn	lately
作家	zuòjiā	writer
作文	zuòwén	composition
作业	zuòyè	task, homework
作用	zuòyòng	effect
座	zuò	seat
座位	zuòwèi	seat
做到	zuò dào	accomplish; achieve
做法	zuò fǎ	practice; behavior; way of doing a thing
做饭	zuò fàn	cook
